alpha,gamma,entropy
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
0.01,0.01,0.06778954539537585
